catchment_id,catchment,replicate,X1,X2,X3,X4,X5,X6,NSE_cal,logNSE_cal,KGE_cal,NSE_val,logNSE_val,KGE_val,best_logNSE
10002,10002,10,127.07553033307516,0.0565223102689946,29.759894939667294,1.405523920220444,-1.6958500971035084,5.087949348380183,0.7518994625412282,0.8005076042714113,0.7970919260298447,0.618971791916164,0.7222440418045288,0.716878527777704,False
10003,10003,2,132.3012894101416,0.1909404851938871,156.82940135573836,1.1575089362332636,0.082496184604647,2.5185384951901457,0.797791085978499,0.8482659244518845,0.8410470761137268,0.7191019768844286,0.7909603893397844,0.7923420121841479,False
1001,1001,3,127.09778048477904,-1.310972017995545,63.72821325453199,1.113006594752146,0.3995075420623575,2.534539378528722,0.721575504835724,0.7862223909007606,0.6943589132237955,0.5910333092227155,0.7646642740780195,0.5269200377874633,True
101002,101002,6,371.0669256243661,-2.895784765856818,153.20176571148542,1.21031000619777,0.4259963760306293,0.0338695395879695,0.7289770433579841,0.6517474124171223,0.7690048551179536,0.7399063604473497,0.7360592605193083,0.7722297416222632,False
101005,101005,1,114.49690201758877,-3.442512607590568,60.0970482792918,1.0906145599656014,0.4114072735619771,4.159358591775522,0.6883742419929633,0.6931563028283119,0.8449560023489845,0.7026212629162176,0.7928111476108135,0.8328333238227061,True
102001,102001,10,194.6290058563249,0.0796265516977561,8.985170940199128,1.3425061858696097,3.1525616291145315,1.2138099074427111,0.7578063614275934,-7.265456085872083,0.6620717142310149,0.774747103907784,-4.992207420688786,0.6375484923408319,False
106001,106001,6,140.0911120374472,-0.4797349269842144,169.4544124718211,1.6505204770172566,1.263821490513429,2.511428654128809,0.7469083851957115,0.3363383896874595,0.6636686055976214,0.6554934656000553,0.2934191333909834,0.6264829729246757,False
107001,107001,6,119.82098233016004,-0.0181338915326847,0.7198217719467381,1.3418218625689005,-1.547627723615009,13.515173972472123,0.7153029680687968,0.7595850322932095,0.7299891385360211,0.7116972347272508,0.7937532734288968,0.767872082515307,True
11001,11001,9,531.8061794286552,-0.0094252123647198,46.99025338639334,1.6831298771807135,-1.6032847886935366,1.5743391517981808,0.8285599632416203,0.5903729594015927,0.8712541707169332,0.695475968485948,0.7794712278293263,0.7921575772722699,False
11003,11003,2,463.0148558417856,0.0783108099873874,221.42081305686563,0.9671843146982696,-1.18040921508522,3.0293267553858683,0.6729463541421414,0.6160364553580226,0.716428949960848,0.4378954134760487,0.501103767625223,0.5625862611927723,False
11004,11004,4,458.2867028834106,0.0026456602150677,454.3558398999588,1.0832378492132244,-3.723265715404537,3.5540241000575024,0.8101103043789898,0.8479782615982197,0.7917723243298964,0.7108034676017556,0.8259244276720006,0.6722275664904173,False
12001,12001,8,538.165804147724,0.0709364692717855,15.624492575129931,1.1611322900919885,-0.6176229788958914,3.192066586391782,0.635579040641882,0.7034838578246259,0.7725594248644501,0.437123872905687,0.5896212375823713,0.6128689102887214,True
12002,12002,7,503.9354954545588,0.4518017834984462,6.036657774585008,1.7103956103649909,0.8522384089245572,14.120521342449706,0.6842370837971062,0.2990462173591539,0.7441108519534083,0.5324461246267373,0.6442894146400281,0.659246635769275,False
12005,12005,6,390.98453755079976,0.005814052865916,35.591785052031256,0.5,-3.9224981719289223,12.860337982104378,0.6869462705710947,0.7348928176607719,0.7219294531081797,0.484052298915411,0.6078555989802693,0.6163888601189713,False
12006,12006,7,310.93253843626815,-1.2303322420271687,102.54391883613827,0.9321871172543372,0.5472963699627478,1.565664594678735,0.5552270532290378,0.6601556636498265,0.5971143719594745,0.337955832233486,0.5142793620948773,0.4486891127853305,False
12007,12007,4,666.0656402171426,-0.0965110103904471,18.11328259360517,0.5,3.5149059288264466,12.444263845822237,0.5118865234547225,0.5046227677973725,0.5573784056941368,0.3551767964906148,0.338272267301701,0.3812758365607934,False
12008,12008,10,308.5190769251116,-2.6923829300452957,40.61093663911286,0.5,0.7020319412240088,4.1133091404323,0.7245775498198055,0.2342465025490225,0.6310910063793214,0.692757087676848,0.3912756306396626,0.6800212131992944,False
12009,12009,9,130.3323780988395,0.0474121994857519,7.661931830949542,0.9044295093103804,1.345586796304744,17.711904459741078,0.7514683569454947,0.7763634966876355,0.7905869300949964,0.6859258827434763,0.7025610939606076,0.811108397819669,True
13001,13001,5,193.4331818856586,-1.0802688995091767,15.352920936262173,1.255839469570066,0.6802599342461582,19.548342306797867,0.7905247379915186,0.7684484672042677,0.7172795259685427,0.8011584436175266,0.828562510014574,0.728674893639262,False
13004,13004,10,204.00220952394,0.1584251994982501,48.97474523902024,0.7306285799274637,0.7604741178966918,7.91412065968159,0.7621429353544781,0.6276316470948767,0.8174888963687067,0.7044553342469198,0.7307477911583575,0.7107942324817761,False
13005,13005,5,168.34879758335182,0.9863436890953814,193.9157232559083,1.7439908214231614,0.3389877118032807,1.452226552724527,0.8219115269777194,0.7378074682560898,0.7417282895058701,-0.1936387340734096,0.6632359146835647,0.3993228597420809,False
13007,13007,4,178.71709320956927,-1.95712379672724,23.28681815809397,1.103484000982623,0.6352935296392141,4.006591998591191,0.7763266771191843,0.7650540561056466,0.7807856853162564,0.6881379881249234,0.7273508806228675,0.6992760970655852,False
