catchment_id,replicate,NSE_cal,logNSE_cal,KGE_cal,NSE_val,logNSE_val,KGE_val,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,parprecip_corr_factor
54016,9,0.630342098,0.003707789,0.710306656,0.744231585,-1.112513423,0.809254504,2.816012897,269.2495784,0.304378745,0.190962925,0.169216715,0.557822459,9.788933502,76.162524,0.963528651,2.726083222,0.094792157,0.073368417,0.291552535,0.863763502,1.024197255
54017,1,0.546464109,0.281017433,0.607989601,0.61616376,-0.24461854,0.61976799,2.170277576,420.083393,0.244555079,0.363951285,0.083134273,0.57872298,1.707538686,51.53133231,3.093029483,1.003257929,0.07002838,0.024117996,2.492898134,0.669268364,1.111701856
54018,10,0.69990162,0.36995442,0.762805088,0.585239034,-0.378575791,0.760494064,3.247487309,229.4626205,0.92406654,0.331009621,0.053500354,0.603547098,3.264183384,29.40006158,3.580570892,2.524285861,0.036290628,0.12235116,1.606513563,0.494946533,1.034577317
54019,5,0.639529446,0.331110179,0.738045908,0.581242978,-0.426903831,0.74032611,1.689975323,334.8743865,0.102896696,0.385698072,0.068665834,0.310831291,1.149101478,8.569456824,2.014830029,1.726328102,0.08753788,0.154592826,1.618256683,1.388971685,1.184010028
54020,8,0.606915088,0.173589022,0.783120682,0.699716346,-1.434306255,0.828739654,2.091452735,407.2628373,0.191776784,0.333709109,0.113567447,0.228045612,9.004473442,90.02267071,0.251320728,2.652020542,0.023158268,0.126744965,0.550881993,1.503656913,1.070600626
54024,9,0.178667335,-0.591010621,0.497850186,0.212921311,-3.359795855,0.512670122,1.878710793,827.0892709,0.382012226,0.175326415,0.084204828,0.270487119,0.604155785,88.02715178,2.552215096,4.372370358,0.031699805,0.049783529,2.324894902,0.725801486,1.03249948
54025,5,0.842631018,0.710673435,0.846366467,0.816577238,0.42916886,0.846349264,5.330696447,65.27650995,0.652061133,0.434069264,0.086031333,0.69647299,1.804021518,46.87801434,2.712006751,4.35694327,0.066591922,0.051732573,0.056223116,5.748973025,1.023016763
54027,10,0.653552119,0.031435922,0.813359505,0.779525039,-1.381139914,0.883231111,1.558753884,217.1584025,0.859916691,0.310945413,0.018161334,0.639982902,4.300049603,49.86749468,0.98728911,2.949497201,0.017606804,0.014454828,1.489154285,4.367570624,1.015655162
54028,6,0.775039155,0.704828503,0.847751837,0.777497839,0.101222052,0.886493308,3.006077069,211.8574343,0.470552355,0.427626571,0.098295845,0.203279537,1.83084567,80.87641411,2.722083344,1.159561723,0.092876714,0.034895208,2.005505514,0.55420673,1.042535631
54029,9,0.770532313,0.539631316,0.83225676,0.754337048,0.06038839,0.870517349,2.268255634,223.2481423,0.371679266,0.431864826,0.153417805,0.807151398,2.867832957,57.2166458,2.136726689,1.240053974,0.007215004,0.085325047,2.592313564,0.491593334,1.014032482
